HCPCS/Modifier Code	Type of Change
G8458	Change in Long Description
G8459	No change
G8460	No change
G8461	No change
G8462	No change
G8463	No change
G8464	No change
G8465	Change in Long Description
G8468	No change
G8469	No change
G8470	No change
G8471	No change
G8472	No change
G8473	No change
G8474	No change
G8475	No change
G8476	No change
G8477	No change
G8478	No change
G8482	No change
G8483	No change
G8484	No change
G8485	No change
G8486	No change
G8487	No change
G8489	No change
G8490	No change
G8491	No change
G8492	No change
G8493	No change
G8494	No change
G8495	No change
G8496	No change
G8497	No change
G8498	No change
G8499	No change
G8500	No change
G8501	No change
G8502	No change
G8506	No change
G8509	No change
G8510	No change
G8511	No change
G8524	No change
G8525	No change
G8526	No change
G8530	Discontinued
G8531	Discontinued
G8532	Discontinued
G8535	No change
G8536	No change
G8539	No change
G8540	No change
G8541	No change
G8542	No change
G8543	No change
G8544	No change
G8545	No change
G8546	No change
G8547	No change
G8548	No change
G8549	No change
G8550	No change
G8551	No change
G8552	No change
G8553	No change
G8556	No change
G8557	No change
G8558	No change
G8559	No change
G8560	No change
G8561	No change
G8562	No change
G8563	No change
G8564	No change
G8565	No change
G8566	No change
G8567	No change
G8568	No change
G8569	No change
G8570	No change
G8571	No change
G8572	No change
G8573	No change
G8574	No change
G8575	No change
G8576	No change
G8577	No change
G8578	No change
G8579	No change
G8580	No change
G8581	No change
G8582	No change
G8583	No change
G8584	No change
G8585	No change
G8586	No change
G8587	No change
G8588	No change
G8589	No change
G8590	No change
G8591	No change
G8592	No change
G8593	No change
G8594	No change
G8595	No change
G8596	No change
G8597	No change
G8598	No change
G8599	No change
G8600	No change
G8601	No change
G8602	No change
G8603	No change
G8604	No change
G8605	No change
G8606	No change
G8607	No change
G8608	No change
G8609	No change
G8610	No change
G8611	No change
G8612	No change
G8613	No change
G8614	No change
G8615	No change
G8616	No change
G8617	No change
G8618	No change
G8619	No change
G8620	No change
G8621	No change
G8622	No change
G8623	No change
G8624	No change
G8625	No change
G8626	No change
G8627	No change
G8628	No change
G8629	No change
G8630	No change
G8631	No change
G8632	No change
G8633	No change
G8634	No change
G8635	No change
G8642	No change
G8643	No change
G8644	No change
G8645	No change
G8646	No change
G8647	No change
G8648	No change
G8649	No change
G8650	No change
G8651	No change
G8652	No change
G8653	No change
G8654	No change
G8655	No change
G8656	No change
G8657	No change
G8658	No change
G8659	No change
G8660	No change
G8661	No change
G8662	No change
G8663	No change
G8664	No change
G8665	No change
G8666	No change
G8667	No change
G8668	No change
G8669	No change
G8670	No change
G8671	No change
G8672	No change
G8673	No change
G8674	No change
G8675	No change
G8676	No change
G8677	No change
G8678	No change
G8679	No change
G8680	No change
G8682	No change
G8683	No change
G8685	No change
G8694	No change
G8695	No change
G8696	No change
G8697	No change
G8698	No change
G8699	No change
G8700	No change
G8701	No change
G8702	No change
G8703	No change
G8704	No change
G8705	No change
G8706	No change
G8707	No change
G8708	No change
G8709	No change
G8710	No change
G8711	No change
G8712	No change
G8713	Discontinued
G8714	Discontinued
G8715	No change
G8716	No change
G8717	Discontinued
G8718	Discontinued
G8720	Discontinued
G8721	No change
G8722	No change
G8723	No change
G8724	No change
G8725	No change
G8726	No change
G8727	No change
G8728	No change
G8730	No change
G8731	No change
G8732	No change
G8733	No change
G8734	No change
G8735	No change
G8736	No change
G8737	No change
G8738	No change
G8739	No change
G8740	No change
G8741	No change
G8742	No change
G8743	No change
G8744	No change
G8745	No change
G8746	No change
G8747	No change
G8748	No change
G8749	No change
G8750	No change
G8751	No change
G8752	No change
G8753	No change
G8754	No change
G8755	No change
G8756	No change
G8757	No change
G8758	No change
G8759	No change
G8760	No change
G8761	No change
G8762	No change
G8763	No change
G8764	No change
G8765	No change
G8767	No change
G8768	No change
G8769	No change
G8770	No change
G8771	No change
G8772	No change
G8773	No change
G8774	No change
G8775	No change
G8776	No change
G8777	No change
G8778	No change
G8779	No change
G8780	No change
G8781	No change
G8782	No change
G8783	No change
G8784	Change in Long Description
G8785	No change
G8786	No change
G8787	No change
G8788	No change
G8789	No change
G8790	No change
G8791	No change
G8792	No change
G8793	No change
G8794	No change
G8795	No change
G8796	No change
G8797	No change
G8798	No change
G8799	No change
G8800	No change
G8801	No change
G8802	No change
G8803	No change
G8805	No change
G8806	No change
G8807	No change
G8808	No change
G8809	No change
G8810	No change
G8811	No change
G8812	No change
G8813	No change
G8814	No change
G8815	No change
G8816	No change
G8817	No change
G8818	No change
G8819	No change
G8820	No change
G8821	No change
G8822	No change
G8823	No change
G8824	No change
G8825	No change
G8826	No change
G8827	No change
G8828	No change
G8829	No change
G8830	No change
G8831	No change
G8832	No change
G8833	No change
G8834	No change
G8835	No change
G8836	No change
G8837	No change
G8838	No change
G8839	No change
G8840	No change
G8841	No change
G8842	No change
G8843	No change
G8844	No change
G8845	No change
G8846	No change
G8847	No change
G8848	No change
G8849	No change
G8850	No change
G8851	No change
G8852	No change
G8853	No change
G8854	No change
G8855	No change
G8856	No change
G8857	No change
G8858	No change
G8859	No change
G8860	No change
G8861	No change
G8862	No change
G8863	No change
G8864	No change
G8865	No change
G8866	No change
G8867	No change
G8868	No change
G8869	No change
G8870	Discontinued
G8871	Discontinued
G8872	No change
G8873	No change
G8874	No change
G8875	No change
G8876	No change
G8877	No change
G8878	No change
G8879	No change
G8880	No change
G8881	No change
G8882	No change
G8883	No change
G8884	No change
G8885	No change
G8886	No change
G8887	No change
G8888	No change
G8889	No change
G8890	No change
G8891	No change
G8892	No change
G8893	No change
G8894	No change
G8895	No change
G8896	No change
G8897	No change
G8898	No change
G8899	No change
G8900	No change
G8901	No change
G8902	No change
G8903	No change
G8904	No change
G8905	No change
G8906	No change
G8907	No change
G8908	No change
G8909	No change
G8910	No change
G8911	No change
G8912	No change
G8913	No change
G8914	No change
G8915	No change
G8916	No change
G8917	No change
G8918	No change
G8919	No change
G8920	No change
G8921	No change
G8922	No change
G8923	No change
G8924	Change in Long Description
G8925	Change in Long Description
G8926	No change
G8927	No change
G8928	Change in Long Description
G8929	Change in Long Description
G8930	No change
G8931	No change
G8932	No change
G8933	No change
G8934	No change
G8935	No change
G8936	No change
G8937	No change
G8938	No change
G8939	No change
G8940	No change
G8941	No change
G8942	No change
G8943	No change
G8944	No change
G8945	No change
G8946	No change
G8947	No change
G8948	No change
G8949	No change
G8950	No change
G8951	Discontinued
G8952	No change
G8953	No change
G8954	No change
G8955	Change in Long Description
G8956	No change
G8957	No change
G8958	No change
G8959	No change
G8960	No change
G8961	No change
G8962	No change
G8963	No change
G8964	No change
G8965	No change
G8966	No change
G8967	No change
G8968	No change
G8969	No change
G8970	No change
G8971	No change
G8972	No change
G8973	No change
G8974	No change
G8975	No change
G8976	No change
G8977	No change
G8978	No change
G8979	No change
G8980	No change
G8981	No change
G8982	No change
G8983	No change
G8984	No change
G8985	No change
G8986	No change
G8987	No change
G8988	No change
G8989	No change
G8990	No change
G8991	No change
G8992	No change
G8993	No change
G8994	No change
G8995	No change
G8996	No change
G8997	No change
G8998	No change
G8999	No change
G9	No change
G9001	No change
G9002	No change
G9003	No change
G9004	No change
G9005	No change
G9006	No change
G9007	No change
G9008	No change
G9009	No change
G9010	No change
G9011	No change
G9012	No change
G9013	No change
G9014	No change
G9016	No change
G9017	No change
G9018	No change
G9019	No change
G9020	No change
G9033	No change
G9034	No change
G9035	No change
G9036	No change
G9050	No change
G9051	No change
G9052	No change
G9053	No change
G9054	No change
G9055	No change
G9056	No change
G9057	No change
G9058	No change
G9059	No change
G9060	No change
G9061	No change
G9062	No change
G9063	No change
G9064	No change
G9065	No change
G9066	No change
G9067	No change
G9068	No change
G9069	No change
G9070	No change
G9071	No change
G9072	No change
G9073	No change
G9074	No change
G9075	No change
G9077	No change
G9078	No change
G9079	No change
G9080	No change
G9083	No change
G9084	No change
G9085	No change
G9086	No change
G9087	No change
G9088	No change
G9089	No change
G9090	No change
G9091	No change
G9092	No change
G9093	No change
G9094	No change
G9095	No change
G9096	No change
G9097	No change
G9098	No change
G9099	No change
G9100	No change
G9101	No change
G9102	No change
G9103	No change
G9104	No change
G9105	No change
G9106	No change
G9107	No change
G9108	No change
G9109	No change
G9110	No change
G9111	No change
G9112	No change
G9113	No change
G9114	No change
G9115	No change
G9116	No change
G9117	No change
G9123	No change
G9124	No change
G9125	No change
G9126	No change
G9128	No change
G9129	No change
G9130	No change
G9131	No change
G9132	No change
G9133	No change
G9134	No change
G9135	No change
G9136	No change
G9137	No change
G9138	No change
G9139	No change
G9140	No change
G9141	No change
G9142	No change
G9143	No change
G9147	No change
G9148	No change
G9149	No change
G9150	No change
G9151	No change
G9152	No change
G9153	No change
G9156	No change
G9157	No change
G9158	No change
G9159	No change
G9160	No change
G9161	No change
G9162	No change
G9163	No change
G9164	No change
G9165	No change
G9166	No change
G9167	No change
G9168	No change
G9169	No change
G9170	No change
G9171	No change
G9172	No change
G9173	No change
G9174	No change
G9175	No change
G9176	No change
G9186	No change
G9187	No change
G9188	No change
G9189	No change
G9190	No change
G9191	No change
G9192	No change
G9193	No change
G9194	No change
G9195	No change
G9196	Change in Long Description
G9197	No change
G9198	No change
G9199	No change
G9200	No change
G9201	No change
G9202	No change
G9203	No change
G9204	No change
G9205	No change
G9206	No change
G9207	No change
G9208	No change
G9209	No change
G9210	No change
G9211	No change
G9212	No change
G9213	No change
G9214	No change
G9215	No change
G9216	No change
G9217	No change
G9218	No change
G9219	No change
G9220	No change
G9221	No change
G9222	No change
G9223	No change
G9224	No change
G9225	No change
G9226	Change in Long Description
G9227	No change
G9228	No change
G9229	No change
G9230	No change
G9231	No change
G9232	No change
G9233	No change
G9234	No change
G9235	No change
G9236	No change
G9237	No change
G9238	No change
G9239	No change
G9240	No change
G9241	No change
G9242	No change
G9243	No change
G9244	No change
G9245	No change
G9246	No change
G9247	No change
G9248	No change
G9249	No change
G9250	No change
G9251	No change
G9252	No change
G9253	No change
G9254	No change
G9255	No change
G9256	No change
G9257	No change
G9258	No change
G9259	No change
G9260	No change
G9261	No change
G9262	No change
G9263	No change
G9264	No change
G9265	No change
G9266	No change
G9267	No change
G9268	No change
G9269	No change
G9270	No change
G9271	No change
G9272	No change
G9273	No change
G9274	No change
G9275	No change
G9276	No change
G9277	Change in Long Description
G9278	No change
G9279	No change
G9280	No change
G9281	No change
G9282	No change
G9283	No change
G9284	No change
G9285	No change
G9286	Change in Long Description
G9287	Change in Long Description
G9288	No change
G9289	No change
G9290	No change
G9291	No change
G9292	No change
G9293	No change
G9294	No change
G9295	No change
G9296	No change
G9297	No change
G9298	Change in Long Description
G9299	No change
G9300	No change
G9301	No change
G9302	No change
G9303	No change
G9304	No change
G9305	No change
G9306	No change
G9307	No change
G9308	No change
G9309	No change
G9310	No change
G9311	No change
G9312	No change
G9313	No change
G9314	No change
G9315	No change
G9316	No change
G9317	No change
G9318	No change
G9319	No change
G9320	Discontinued
G9321	No change
G9322	No change
G9323	Discontinued
G9324	No change
G9325	Discontinued
G9326	No change
G9327	No change
G9328	Discontinued
G9329	No change
G9340	No change
G9341	No change
G9342	No change
G9343	Discontinued
G9344	No change
G9345	No change
G9346	Discontinued
G9347	No change
G9348	No change
G9349	No change
G9350	No change
G9351	No change
G9352	No change
G9353	No change
G9354	Change in Long Description
G9355	No change
G9356	No change
G9357	No change
G9358	No change
G9359	No change
G9360	No change
G9361	No change
G9362	Discontinued
G9363	Discontinued
G9364	No change
G9365	No change
G9366	No change
G9367	No change
G9368	No change
G9369	Discontinued
G9370	Discontinued
G9376	Discontinued
G9377	Discontinued
G9378	Discontinued
G9379	Discontinued
G9380	No change
G9381	No change
G9382	No change
G9383	No change
G9384	Change in Long Description
G9385	Change in Long Description
G9386	No change
G9389	Change in Long Description
G9390	Change in Long Description
G9391	Discontinued
G9392	Discontinued
G9393	No change
G9394	No change
G9395	No change
G9396	No change
G9399	No change
G9400	No change
G9401	No change
G9402	No change
G9403	No change
G9404	No change
G9405	No change
G9406	No change
G9407	No change
G9408	No change
G9409	No change
G9410	No change
G9411	No change
G9412	No change
G9413	No change
G9414	No change
G9415	No change
G9416	No change
G9417	No change
G9418	No change
G9419	Change in Long Description
G9420	No change
G9421	No change
G9422	No change
G9423	No change
G9424	No change
G9425	No change
G9426	No change
G9427	No change
G9428	No change
G9429	Change in Long Description
G9430	No change
G9431	No change
G9432	No change
G9433	Discontinued
G9434	No change
G9435	No change
G9436	No change
G9437	No change
G9438	No change
G9439	No change
G9440	No change
G9441	No change
G9442	No change
G9443	No change
G9448	No change
G9449	No change
G9450	No change
G9451	No change
G9452	No change
G9453	No change
G9454	No change
G9455	No change
G9456	No change
G9457	No change
G9458	No change
G9459	No change
G9460	Change in Long Description
G9463	No change
G9464	No change
G9465	No change
G9466	No change
G9467	Change in Long Description
G9468	No change
G9469	No change
G9470	No change
G9471	No change
G9472	No change
G9473	Add
G9474	Add
G9475	Add
G9476	Add
G9477	Add
G9478	Add
G9479	Add
G9480	Add
G9496	Add
G9497	Add
G9498	Add
G9499	Add
G9500	Add
G9501	Add
G9502	Add
G9503	Add
G9504	Add
G9505	Add
G9506	Add
G9507	Add
G9508	Add
G9509	Add
G9510	Add
G9511	Add
G9512	Add
G9513	Add
G9514	Add
G9515	Add
G9516	Add
G9517	Add
G9518	Add
G9519	Add
G9520	Add
G9521	Add
G9522	Add
G9523	Add
G9524	Add
G9525	Add
G9526	Add
G9529	Add
G9530	Add
G9531	Add
G9532	Add
G9533	Add
G9534	Add
G9535	Add
G9536	Add
G9537	Add
G9538	Add
G9539	Add
G9540	Add
G9541	Add
G9542	Add
G9543	Add
G9544	Add
G9547	Add
G9548	Add
G9549	Add
G9550	Add
G9551	Add
G9552	Add
G9553	Add
G9554	Add
G9555	Add
G9556	Add
G9557	Add
G9558	Add
G9559	Add
G9560	Add
G9561	Add
G9562	Add
G9563	Add
G9572	Add
G9573	Add
G9574	Add
G9577	Add
G9578	Add
G9579	Add
G9580	Add
G9581	Add
G9582	Add
G9583	Add
G9584	Add
G9585	Add
G9593	Add
G9594	Add
G9595	Add
G9596	Add
G9597	Add
G9598	Add
G9599	Add
G9600	Add
G9601	Add
G9602	Add
G9603	Add
G9604	Add
G9605	Add
G9606	Add
G9607	Add
G9608	Add
G9609	Add
G9610	Add
G9611	Add
G9612	Add
G9613	Add
G9614	Add
G9615	Add
G9616	Add
G9617	Add
G9618	Add
G9619	Add
G9620	Add
G9621	Add
G9622	Add
G9623	Add
G9624	Add
G9625	Add
G9626	Add
G9627	Add
G9628	Add
G9629	Add
G9630	Add
G9631	Add
G9632	Add
G9633	Add
G9634	Add
G9635	Add
G9636	Add
G9637	Add
G9638	Add
G9639	Add
G9640	Add
G9641	Add
G9642	Add
G9643	Add
G9644	Add
G9645	Add
G9646	Add
G9647	Add
G9648	Add
G9649	Add
G9650	Add
G9651	Add
G9652	Add
G9653	Add
G9654	Add
G9655	Add
G9656	Add
G9657	Add
G9658	Add
G9659	Add
G9660	Add
G9661	Add
G9662	Add
G9663	Add
G9664	Add
G9665	Add
G9666	Add
G9667	Add
G9668	Add
G9669	Add
G9670	Add
G9671	Add
G9672	Add
G9673	Add
G9674	Add
G9675	Add
G9676	Add
G9677	Add
GA	No change
GB	No change
GC	No change
GD	No change
GE	No change
GF	No change
GG	No change
GH	No change
GJ	No change
GK	No change
GL	No change
GM	No change
GN	No change
GO	No change
GP	No change
GQ	No change
GR	No change
GS	No change
GT	No change
GU	No change
GV	No change
GW	No change
GX	No change
GY	No change
GZ	No change
H0001	No change
H0002	No change
H0003	No change
H0004	No change
H0005	No change
H0006	No change
H0007	No change
H0008	No change
H0009	No change
H0010	No change
H0011	No change
H0012	No change
H0013	No change
H0014	No change
H0015	No change
H0016	No change
H0017	No change
H0018	No change
H0019	No change
H0020	No change
H0021	No change
H0022	No change
H0023	No change
H0024	No change
H0025	No change
H0026	No change
H0027	No change
H0028	No change
H0029	No change
H0030	No change
H0031	No change
H0032	No change
H0033	No change
H0034	No change
H0035	No change
H0036	No change
H0037	No change
H0038	No change
H0039	No change
H0040	No change
H0041	No change
H0042	No change
H0043	No change
H0044	No change
H0045	No change
H0046	No change
H0047	No change
H0048	No change
H0049	No change
H0050	No change
H1000	No change
H1001	No change
H1002	No change
H1003	No change
H1004	No change
H1005	No change
H1010	No change
H1011	No change
H2000	No change
H2001	No change
H2010	No change
H2011	No change
H2012	No change
H2013	No change
H2014	No change
H2015	No change
H2016	No change
H2017	No change
H2018	No change
H2019	No change
H2020	No change
H2021	No change
H2022	No change
H2023	No change
H2024	No change
H2025	No change
H2026	No change
H2027	No change
H2028	No change
H2029	No change
H2030	No change
H2031	No change
H2032	No change
H2033	No change
H2034	No change
H2035	No change
H2036	No change
H2037	No change
H9	No change
HA	No change
HB	No change
HC	No change
HD	No change
HE	No change
HF	No change
HG	No change
HH	No change
HI	No change
HJ	No change
HK	No change
HL	No change
HM	No change
HN	No change
HO	No change
HP	No change
HQ	No change
HR	No change
HS	No change
HT	No change
HU	No change
HV	No change
HW	No change
HX	No change
HY	No change
HZ	No change
J0120	No change
J0129	No change
J0130	No change
J0131	No change
J0132	No change
J0133	No change
J0135	No change
J0150	No change
J0151	No change
J0152	No change
J0153	No change
J0171	No change
J0178	No change
J0180	No change
J0190	No change
J0200	Change in Payment
J0202	Add
J0205	No change
J0207	No change
J0210	No change
J0215	No change
J0220	No change
J0221	No change
J0256	No change
J0257	No change
J0270	No change
J0275	No change
J0278	No change
J0280	No change
J0282	No change
J0285	No change
J0287	No change
J0288	No change
J0289	No change
J0290	No change
J0295	No change
J0300	No change
J0330	No change
J0348	No change
J0350	No change
J0360	No change
J0364	No change
J0365	No change
J0380	No change
J0390	No change
J0395	No change
J0400	No change
J0401	No change
J0456	No change
J0461	No change
J0470	No change
J0475	No change
J0476	No change
J0480	No change
J0485	No change
J0490	No change
J0500	No change
J0515	No change
J0520	No change
J0558	No change
J0561	Change in Payment
J0571	Change in Long Description
J0572	Change in Long Description
J0573	Change in Long Description
J0574	Change in Long Description
J0575	Change in Long Description
J0583	No change
J0585	No change
J0586	No change
J0587	No change
J0588	No change
J0592	No change
J0594	No change
J0595	No change
J0596	Add
J0597	No change
J0598	No change
J0600	No change
J0610	No change
J0620	No change
J0630	No change
J0636	No change
J0637	No change
J0638	No change
J0640	No change
J0641	No change
J0670	No change
J0690	No change
J0692	No change
J0694	No change
J0695	Add
J0696	No change
J0697	No change
J0698	No change
J0702	No change
J0706	No change
J0710	No change
J0712	Change in Payment
J0713	No change
J0714	Add
J0715	No change
J0716	No change
J0717	No change
J0718	No change
J0720	Change in Payment
J0725	No change
J0735	No change
J0740	No change
J0743	No change
J0744	No change
J0745	No change
J0760	No change
J0770	No change
J0775	No change
J0780	No change
J0795	No change
J0800	No change
J0833	No change
J0834	No change
J0840	No change
J0850	No change
J0875	Add
J0878	No change
J0881	No change
J0882	No change
J0885	No change
J0886	Discontinued
J0887	No change
J0888	No change
J0890	No change
J0894	No change
J0895	No change
J0897	No change
J0900	No change
J0945	No change
J1	No change
J1000	No change
J1020	No change
J1030	No change
J1040	No change
J1050	No change
J1051	No change
J1055	No change
J1056	No change
J1060	No change
J1070	No change
J1071	No change
J1080	No change
J1094	No change
J1100	No change
J1110	No change
J1120	No change
J1160	No change
J1162	No change
J1165	No change
J1170	No change
J1180	No change
J1190	No change
J1200	No change
J1205	No change
J1212	No change
J1230	No change
J1240	No change
J1245	No change
J1250	No change
J1260	No change
J1265	No change
J1267	No change
J1270	No change
J1290	No change
J1300	No change
J1320	No change
J1322	No change
J1324	No change
J1325	No change
J1327	No change
J1330	No change
J1335	No change
J1364	Change in Payment
J1380	No change
J1410	No change
J1430	No change
J1435	No change
J1436	No change
J1438	No change
J1439	No change
J1440	No change
J1441	No change
J1442	Change in Long Description
J1443	Add
J1446	Discontinued
J1447	Add
J1450	No change
J1451	No change
J1452	No change
J1453	No change
J1455	No change
J1457	No change
J1458	No change
J1459	No change
J1460	No change
J1556	No change
J1557	No change
J1559	No change
J1560	No change
J1561	No change
J1562	No change
J1566	No change
J1568	No change
J1569	No change
J1570	No change
J1571	No change
J1572	No change
J1573	No change
J1575	Add
J1580	No change
J1590	No change
J1595	No change
J1599	No change
J1600	Change in Payment
J1602	No change
J1610	No change
J1620	No change
J1626	No change
J1630	No change
J1631	No change
J1640	No change
J1642	No change
J1644	No change
J1645	No change
J1650	No change
J1652	No change
J1655	No change
J1670	No change
J1675	No change
J1680	No change
J1700	No change
J1710	No change
J1720	No change
J1725	No change
J1730	No change
J1740	No change
J1741	No change
J1742	No change
J1743	No change
J1744	No change
J1745	No change
J1750	No change
J1756	No change
J1786	No change
J1790	No change
J1800	No change
J1810	No change
J1815	No change
J1817	No change
J1826	No change
J1830	No change
J1833	Add
J1835	No change
J1840	No change
J1850	No change
J1885	No change
J1890	No change
J1930	No change
J1931	No change
J1940	No change
J1945	No change
J1950	No change
J1953	No change
J1955	No change
J1956	No change
J1960	No change
J1980	No change
J1990	No change
J2	No change
J2001	No change
J2010	No change
J2020	No change
J2060	No change
J2150	No change
J2170	No change
J2175	No change
J2180	No change
J2185	No change
J2210	No change
J2212	No change
J2248	Change in Payment
J2250	No change
J2260	No change
J2265	No change
J2270	No change
J2271	No change
J2274	No change
J2275	No change
J2278	No change
J2280	No change
J2300	No change
J2310	No change
J2315	No change
J2320	No change
J2323	No change
J2325	No change
J2353	No change
J2354	No change
J2355	No change
J2357	No change
J2358	No change
J2360	No change
J2370	No change
J2400	No change
J2405	No change
J2407	Add
J2410	No change
J2425	No change
J2426	No change
J2430	No change
J2440	No change
J2460	No change
J2469	No change
J2501	No change
J2502	Add
J2503	No change
J2504	No change
J2505	No change
J2507	No change
J2510	No change
J2513	No change
J2515	Change in Payment
J2540	No change
J2543	No change
J2545	No change
J2547	Add
J2550	No change
J2560	No change
J2562	No change
J2590	No change
J2597	No change
J2650	No change
J2670	No change
J2675	No change
J2680	No change
J2690	No change
J2700	No change
J2704	No change
J2710	No change
J2720	No change
J2724	No change
J2725	No change
J2730	Change in Payment
J2760	No change
J2765	No change
J2770	No change
J2778	No change
J2780	No change
J2783	No change
J2785	No change
J2788	No change
J2790	No change
J2791	Change in Payment
J2792	No change
J2793	No change
J2794	No change
J2795	No change
J2796	No change
J2800	No change
J2805	No change
J2810	No change
J2820	No change
J2850	No change
J2860	Add
J2910	No change
J2916	No change
J2920	No change
J2930	No change
J2940	No change
J2941	No change
J2950	No change
J2993	No change
J2995	No change
J2997	No change
J3	No change
J3000	No change
J3010	No change
J3030	No change
J3060	No change
J3070	No change
J3090	Add
J3095	No change
J3101	No change
J3105	No change
J3110	No change
J3120	No change
J3121	No change
J3130	No change
J3140	No change
J3145	No change
J3150	No change
J3230	No change
J3240	No change
J3243	No change
J3246	No change
J3250	No change
J3260	No change
J3262	No change
J3265	No change
J3280	No change
J3285	No change
J3300	No change
J3301	No change
J3302	No change
J3303	No change
J3305	No change
J3310	No change
J3315	No change
J3320	No change
J3350	Change in Payment
J3355	No change
J3357	No change
J3360	No change
J3364	No change
J3365	No change
J3370	No change
J3380	Add
J3385	No change
J3396	No change
J3400	No change
J3410	No change
J3411	No change
J3415	No change
J3420	No change
J3430	No change
J3465	No change
J3470	No change
J3471	No change
J3472	No change
J3473	No change
J3475	No change
J3480	No change
J3485	Change in Payment
J3486	No change
J3487	No change
J3488	No change
J3489	No change
J3490	No change
J3520	No change
J3530	No change
J3535	No change
J3570	No change
J3590	No change
J4	No change
J7030	No change
J7040	No change
J7042	No change
J7050	No change
J7060	No change
J7070	No change
J7100	No change
J7110	No change
J7120	No change
J7121	Add
J7131	No change
J7178	No change
J7180	Change in Payment
J7181	No change
J7182	No change
J7183	No change
J7185	No change
J7186	No change
J7187	No change
J7188	Add
J7189	No change
J7190	No change
J7191	No change
J7192	No change
J7193	No change
J7194	No change
J7195	No change
J7196	No change
J7197	No change
J7198	No change
J7199	No change
J7200	No change
J7201	No change
J7205	Add
J7297	Add
J7298	Add
J7300	No change
J7301	No change
J7302	Discontinued
J7303	No change
J7304	No change
J7306	No change
J7307	No change
J7308	No change
J7309	No change
J7310	No change
J7311	No change
J7312	No change
J7313	Add
J7315	Change in Payment
J7316	No change
J7321	No change
J7323	No change
J7324	No change
J7325	No change
J7326	No change
J7327	No change
J7328	Add
J7330	No change
J7335	No change
J7336	No change
J7340	Add
J7500	No change
J7501	No change
J7502	No change
J7503	Add
J7504	No change
J7505	No change
J7506	Discontinued
J7507	No change
J7508	Change in Long Description
J7509	No change
J7510	No change
J7511	No change
J7512	Add
J7513	No change
J7515	No change
J7516	No change
J7517	No change
J7518	No change
J7520	No change
J7525	No change
J7527	No change
J7599	No change
J7604	No change
J7605	No change
J7606	No change
J7607	No change
J7608	No change
J7609	No change
J7610	No change
J7611	No change
J7612	No change
J7613	No change
J7614	No change
J7615	No change
J7620	No change
J7622	No change
J7624	No change
J7626	No change
J7627	No change
J7628	No change
J7629	No change
J7631	No change
J7632	No change
J7633	No change
J7634	No change
J7635	No change
J7636	No change
J7637	No change
J7638	No change
J7639	No change
J7640	No change
J7641	No change
J7642	No change
J7643	No change
J7644	No change
J7645	No change
J7647	No change
J7648	No change
J7649	No change
J7650	No change
J7657	No change
J7658	No change
J7659	No change
J7660	No change
J7665	No change
J7667	No change
J7668	No change
J7669	No change
J7670	No change
J7674	No change
J7676	No change
J7680	No change
J7681	No change
J7682	No change
J7683	No change
J7684	No change
J7685	No change
J7686	No change
J7699	No change
J7799	No change
J7999	Add
J8498	No change
J8499	No change
J8501	No change
J8510	No change
J8515	No change
J8520	Change in Payment
J8521	Change in Payment
J8530	No change
J8540	No change
J8560	No change
J8561	No change
J8562	No change
J8565	No change
J8597	No change
J8600	No change
J8610	No change
J8650	No change
J8655	Add
J8700	No change
J8705	No change
J8999	No change
J9000	No change
J9001	No change
J9002	No change
J9010	Discontinued
J9015	No change
J9017	No change
J9019	No change
J9020	Change in Payment
J9025	No change
J9027	No change
J9031	No change
J9032	Add
J9033	No change
J9035	No change
J9039	Add
J9040	No change
J9041	No change
J9042	No change
J9043	No change
J9045	No change
J9047	No change
J9050	No change
J9055	No change
J9060	No change
J9065	No change
J9070	No change
J9098	No change
J9100	No change
J9120	No change
J9130	No change
J9150	No change
J9151	No change
J9155	No change
J9160	No change
J9165	No change
J9171	No change
J9175	No change
J9178	No change
J9179	No change
J9181	No change
J9185	Change in Payment
J9190	No change
J9200	No change
J9201	No change
J9202	No change
J9206	No change
J9207	No change
J9208	No change
J9209	No change
J9211	No change
J9212	No change
J9213	No change
J9214	No change
J9215	No change
J9216	No change
J9217	No change
J9218	No change
J9219	Change in Payment
J9225	No change
J9226	No change
J9228	No change
J9230	No change
J9245	No change
J9250	No change
J9260	No change
J9261	No change
J9262	No change
J9263	No change
J9264	No change
J9265	No change
J9266	No change
J9267	No change
J9268	No change
J9270	No change
J9271	Add
J9280	No change
J9293	No change
J9299	Add
J9300	No change
J9301	No change
J9302	No change
J9303	No change
J9305	No change
J9306	No change
J9307	No change
J9308	Add
J9310	No change
J9315	No change
J9320	No change
J9328	No change
J9330	No change
J9340	No change
J9351	Change in Payment
J9354	No change
J9355	No change
J9357	No change
J9360	No change
J9370	No change
J9371	No change
J9390	No change
J9395	No change
J9400	No change
J9600	No change
J9999	No change
JA	No change
JB	No change
JC	No change
JD	No change
JE	No change
JF	Discontinued
JW	No change
K0	No change
K0001	No change
K0002	No change
K0003	No change
K0004	No change
K0005	No change
K0006	No change
K0007	No change
K0008	No change
K0009	No change
K0010	No change
K0011	No change
K0012	No change
K0013	No change
K0014	No change
K0015	No change
K0017	Change in Long Description
K0018	Change in Long Description
K0019	No change
K0020	No change
K0037	No change
K0038	No change
K0039	No change
K0040	No change
K0041	No change
K0042	No change
K0043	No change
K0044	No change
K0045	No change
K0046	No change
K0047	No change
K0050	No change
K0051	No change
